"","algorithm","iomode","image","nthreads","imsize","media","desv_pad"
"305","pth","withoutIO","full",1,256,0.0211,0.00085224162622679
"306","pth","withoutIO","full",1,512,0.0794,0.00181803827184544
"307","pth","withoutIO","full",1,1024,0.3106,0.00414728827066555
"308","pth","withoutIO","full",1,2048,1.2282,0.0130044526787437
"309","pth","withoutIO","full",1,4096,4.9774,0.117869419274042
"310","pth","withoutIO","full",1,8192,20.77535,0.261361873553448
"311","pth","withoutIO","full",2,16,0.01205,0.0494171023027453
"312","pth","withoutIO","full",2,32,0.001,0
"313","pth","withoutIO","full",2,64,0.002,0
"314","pth","withoutIO","full",2,128,0.0042,0.000410391340834062
"315","pth","withoutIO","full",2,256,0.01385,0.000670820393249937
"316","pth","withoutIO","full",2,512,0.05065,0.00103998987849326
"317","pth","withoutIO","full",2,1024,0.1991,0.0074048348359277
"318","pth","withoutIO","full",2,2048,0.77575,0.00789986675437265
"319","pth","withoutIO","full",2,4096,3.1016,0.0338376930904606
"320","pth","withoutIO","full",2,8192,13.43235,0.159307142932995
"321","pth","withoutIO","full",4,16,0.01195,0.0489698887072454
"322","pth","withoutIO","full",4,32,0.00115,0.000366347548532523
"323","pth","withoutIO","full",4,64,0.002,0
"324","pth","withoutIO","full",4,128,0.0038,0.000410391340834062
"325","pth","withoutIO","full",4,256,0.01015,0.000366347548532523
"326","pth","withoutIO","full",4,512,0.03825,0.00259300678952569
"327","pth","withoutIO","full",4,1024,0.1413,0.00525256829410246
"328","pth","withoutIO","full",4,2048,0.53845,0.00877481443798402
"329","pth","withoutIO","full",4,4096,2.1953,0.0386142869660277
"330","pth","withoutIO","full",4,8192,9.76225,0.180669769993415
"331","pth","withoutIO","full",8,16,0.0112,0.0435002722314531
"332","pth","withoutIO","full",8,32,0.0015,0.000512989176042577
"333","pth","withoutIO","full",8,64,0.0021,0.000307793505625546
"334","pth","withoutIO","full",8,128,0.0032,0.000410391340834062
"335","pth","withoutIO","full",8,256,0.00885,0.000366347548532523
"336","pth","withoutIO","full",8,512,0.0319,0.00210012530954452
"337","pth","withoutIO","full",8,1024,0.11615,0.00319991776210116
"338","pth","withoutIO","full",8,2048,0.4621,0.0152346557835123
"339","pth","withoutIO","full",8,4096,1.8398,0.0361555120642977
"340","pth","withoutIO","full",8,8192,7.9669,0.402773659829726
"341","pth","withoutIO","full",16,16,0.01145,0.0453239509124678
"342","pth","withoutIO","full",16,32,0.0017,0.000732695097065046
"343","pth","withoutIO","full",16,64,0.002,0
"344","pth","withoutIO","full",16,128,0.00305,0.000223606797749979
"345","pth","withoutIO","full",16,256,0.0083,0.000470162345981627
"346","pth","withoutIO","full",16,512,0.03005,0.000825577947481896
"347","pth","withoutIO","full",16,1024,0.1183,0.00439018043029285
"348","pth","withoutIO","full",16,2048,0.45685,0.0116766749052162
"349","pth","withoutIO","full",16,4096,1.82955,0.0264584580049556
"350","pth","withoutIO","full",16,8192,7.95375,0.463823228010527
"351","pth","withoutIO","full",32,16,0.01275,0.0476068051305361
"352","pth","withoutIO","full",32,32,0.002,0
"353","pth","withoutIO","full",32,64,0.002,0
"354","pth","withoutIO","full",32,128,0.00365,0.000489360484929593
"355","pth","withoutIO","full",32,256,0.009,0.000324442842261525
"356","pth","withoutIO","full",32,512,0.031,0.00102597835208515
"357","pth","withoutIO","full",32,1024,0.11575,0.00312671005842781
"358","pth","withoutIO","full",32,2048,0.45545,0.00901738087776804
"359","pth","withoutIO","full",32,4096,1.8118,0.0243258580202436
"360","pth","withoutIO","full",32,8192,7.8634,0.498700986247481
"361","pth","withoutIO","seahorse",1,16,0.001,0
"362","pth","withoutIO","seahorse",1,32,0.00295,0.000223606797749979
"363","pth","withoutIO","seahorse",1,64,0.0078,0.000410391340834062
"364","pth","withoutIO","seahorse",1,128,0.0278,0.000523148363780597
"365","pth","withoutIO","seahorse",1,256,0.10815,0.00175544266422131
"366","pth","withoutIO","seahorse",1,512,0.4249,0.00286356421265527
"367","pth","withoutIO","seahorse",1,1024,1.6916,0.0100336276695185
"368","pth","withoutIO","seahorse",1,2048,6.7482,0.0355270097398111
"369","pth","withoutIO","seahorse",1,4096,27.11045,0.277541552128496
"370","pth","withoutIO","seahorse",1,8192,108.9292,0.41624216129809
"371","pth","withoutIO","seahorse",2,16,0.00105,0.000223606797749979
"372","pth","withoutIO","seahorse",2,32,0.002,0
"373","pth","withoutIO","seahorse",2,64,0.00435,0.000489360484929593
"374","pth","withoutIO","seahorse",2,128,0.0154,0.000502624689950035
"375","pth","withoutIO","seahorse",2,256,0.0572,0.00123969435961577
"376","pth","withoutIO","seahorse",2,512,0.22435,0.00290688837074973
"377","pth","withoutIO","seahorse",2,1024,0.8921,0.00939148550549912
"378","pth","withoutIO","seahorse",2,2048,3.55275,0.0215672143969059
"379","pth","withoutIO","seahorse",2,4096,14.18045,0.0644870243986296
"380","pth","withoutIO","seahorse",2,8192,57.6883,0.292181288352211
"381","pth","withoutIO","seahorse",4,16,0.0011,0.000307793505625546
"382","pth","withoutIO","seahorse",4,32,0.002,0
"383","pth","withoutIO","seahorse",4,64,0.00305,0.000223606797749979
"384","pth","withoutIO","seahorse",4,128,0.00905,0.000223606797749979
"385","pth","withoutIO","seahorse",4,256,0.03215,0.000745159820370595
"386","pth","withoutIO","seahorse",4,512,0.1236,0.00216187053509833
"387","pth","withoutIO","seahorse",4,1024,0.48935,0.00943272578788729
"388","pth","withoutIO","seahorse",4,2048,1.92485,0.0160992807946586
"389","pth","withoutIO","seahorse",4,4096,7.71745,0.0524860633130859
"390","pth","withoutIO","seahorse",4,8192,31.9405,0.204101496938733
"391","pth","withoutIO","seahorse",8,16,0.00165,0.000489360484929593
"392","pth","withoutIO","seahorse",8,32,0.00195,0.000223606797749979
"393","pth","withoutIO","seahorse",8,64,0.00275,0.000444261658319319
"394","pth","withoutIO","seahorse",8,128,0.006,0
"395","pth","withoutIO","seahorse",8,256,0.02015,0.000875093979915421
"396","pth","withoutIO","seahorse",8,512,0.0863,0.00304527243617485
"397","pth","withoutIO","seahorse",8,1024,0.3317,0.0113466897560942
"398","pth","withoutIO","seahorse",8,2048,1.30535,0.0402861802084719
"399","pth","withoutIO","seahorse",8,4096,5.16375,0.0404408274682379
"400","pth","withoutIO","seahorse",8,8192,21.6133,0.124572574492901
"401","pth","withoutIO","seahorse",16,16,0.00185,0.000489360484929593
"402","pth","withoutIO","seahorse",16,32,0.00195,0.000223606797749979
"403","pth","withoutIO","seahorse",16,64,0.0025,0.000512989176042577
"404","pth","withoutIO","seahorse",16,128,0.0061,0.000307793505625546
"405","pth","withoutIO","seahorse",16,256,0.02175,0.00096654566695826
"406","pth","withoutIO","seahorse",16,512,0.0841,0.00457567941460753
"407","pth","withoutIO","seahorse",16,1024,0.32615,0.00765214108324557
"408","pth","withoutIO","seahorse",16,2048,1.28935,0.017487664825603
"409","pth","withoutIO","seahorse",16,4096,5.1551,0.0302357404407432
"410","pth","withoutIO","seahorse",16,8192,21.5263,0.144318762685792
"411","pth","withoutIO","seahorse",32,16,0.002,0
